feature,precision,recall,f1,category
workclass,0.75,0.22388059701492538,0.3448275862068966,State-gov
workclass,0.5714285714285714,0.256,0.35359116022099446,Local-gov
workclass,0.6775956284153005,0.2525458248472505,0.36795252225519287,Private
workclass,0.375,0.2,0.26086956521739135,?
workclass,0.6521739130434783,0.24390243902439024,0.35502958579881655,Self-emp-not-inc
workclass,0.9,0.3383458646616541,0.49180327868852464,Self-emp-inc
workclass,0.7096774193548387,0.2682926829268293,0.3893805309734514,Federal-gov
workclass,1.0,1.0,1.0,Never-worked
workclass,1.0,1.0,1.0,Without-pay
education,0.5617977528089888,0.18587360594795538,0.27932960893854747,Some-college
education,0.7096774193548387,0.27848101265822783,0.4,Assoc-voc
education,0.7714285714285715,0.2903225806451613,0.421875,Masters
education,0.5671641791044776,0.2360248447204969,0.3333333333333333,HS-grad
education,0.6956521739130435,0.25806451612903225,0.3764705882352941,Assoc-acdm
education,1.0,0.35714285714285715,0.5263157894736842,11th
education,0.9230769230769231,0.34782608695652173,0.5052631578947369,Prof-school
education,0.5,0.16666666666666666,0.25,9th
education,0.7730061349693251,0.27876106194690264,0.4097560975609756,Bachelors
education,0.95,0.37254901960784315,0.5352112676056339,Doctorate
education,0.0,0.0,1.0,7th-8th
education,0.125,0.08333333333333333,0.1,10th
education,0.5,0.18181818181818182,0.26666666666666666,12th
education,0.3333333333333333,0.6666666666666666,0.4444444444444444,5th-6th
education,1.0,1.0,1.0,1st-4th
education,1.0,1.0,1.0,Preschool
marital-status,0.4098360655737705,0.23148148148148148,0.2958579881656805,Divorced
marital-status,0.8070175438596491,0.2496124031007752,0.3812907045589106,Married-civ-spouse
marital-status,0.34951456310679613,0.34285714285714286,0.3461538461538462,Never-married
marital-status,0.6666666666666666,0.2857142857142857,0.4,Married-spouse-absent
marital-status,0.6,0.42857142857142855,0.5,Widowed
marital-status,0.7777777777777778,0.4375,0.56,Separated
marital-status,1.0,0.0,0.0,Married-AF-spouse
occupation,0.7777777777777778,0.27450980392156865,0.4057971014492754,Prof-specialty
occupation,0.5517241379310345,0.1693121693121693,0.2591093117408907,Craft-repair
occupation,0.375,0.2,0.26086956521739135,?
occupation,0.7605633802816901,0.2857142857142857,0.41538461538461535,Sales
occupation,0.17647058823529413,0.13043478260869565,0.15,Other-service
occupation,0.4716981132075472,0.24271844660194175,0.32051282051282054,Adm-clerical
occupation,0.3333333333333333,0.1724137931034483,0.22727272727272724,Farming-fishing
occupation,0.5,0.17073170731707318,0.2545454545454546,Protective-serv
occupation,0.625,0.17543859649122806,0.273972602739726,Tech-support
occupation,0.5151515151515151,0.2236842105263158,0.3119266055045872,Transport-moving
occupation,0.8986486486486487,0.34190231362467866,0.4953445065176909,Exec-managerial
occupation,1.0,1.0,1.0,Priv-house-serv
occupation,0.5555555555555556,0.2777777777777778,0.3703703703703704,Handlers-cleaners
occupation,0.3333333333333333,0.07317073170731707,0.12,Machine-op-inspct
occupation,1.0,1.0,1.0,Armed-Forces
relationship,0.5945945945945946,0.39285714285714285,0.47311827956989244,Unmarried
relationship,0.8089887640449438,0.2521891418563923,0.38451268357810414,Husband
relationship,0.10344827586206896,0.23076923076923078,0.14285714285714288,Own-child
relationship,0.8378378378378378,0.2152777777777778,0.3425414364640884,Wife
relationship,0.43333333333333335,0.28415300546448086,0.3432343234323432,Not-in-family
relationship,0.3333333333333333,0.5,0.4,Other-relative
race,0.6939163498098859,0.2556022408963585,0.3735926305015353,White
race,0.5294117647058824,0.3333333333333333,0.409090909090909,Black
race,0.5,0.25,0.3333333333333333,Other
race,0.6875,0.23404255319148937,0.3492063492063492,Asian-Pac-Islander
race,0.42857142857142855,0.3333333333333333,0.375,Amer-Indian-Eskimo
sex,0.48717948717948717,0.24358974358974358,0.3247863247863248,Female
sex,0.7286324786324786,0.2607033639143731,0.38400900900900903,Male
native-country,0.6808905380333952,0.2579058327477161,0.3741080530071356,United-States
native-country,0.7777777777777778,0.3333333333333333,0.4666666666666666,?
native-country,1.0,0.3333333333333333,0.5,Jamaica
native-country,0.6666666666666666,0.6666666666666666,0.6666666666666666,Iran
native-country,0.0,0.0,1.0,Mexico
native-country,0.5,0.07142857142857142,0.125,Philippines
native-country,0.6666666666666666,0.5,0.5714285714285715,Puerto-Rico
native-country,1.0,0.25,0.4,India
native-country,0.5,0.2,0.28571428571428575,England
native-country,0.5,0.3333333333333333,0.4,El-Salvador
native-country,1.0,0.2,0.33333333333333337,Cuba
native-country,1.0,0.2,0.33333333333333337,France
native-country,0.3333333333333333,0.14285714285714285,0.2,Canada
native-country,1.0,1.0,1.0,Thailand
native-country,1.0,1.0,1.0,Honduras
native-country,1.0,0.2,0.33333333333333337,Italy
native-country,1.0,1.0,1.0,Hong
native-country,1.0,0.0,0.0,Poland
native-country,1.0,1.0,1.0,Columbia
native-country,1.0,1.0,1.0,Guatemala
native-country,1.0,1.0,1.0,Peru
native-country,1.0,1.0,1.0,Ecuador
native-country,1.0,0.2222222222222222,0.3636363636363636,Germany
native-country,1.0,0.0,0.0,China
native-country,1.0,0.4,0.5714285714285715,Taiwan
native-country,0.5,0.5,0.5,Vietnam
native-country,1.0,1.0,1.0,Trinadad&Tobago
native-country,0.3333333333333333,1.0,0.5,Greece
native-country,0.0,1.0,0.0,Ireland
native-country,0.6666666666666666,0.6666666666666666,0.6666666666666666,South
native-country,1.0,0.0,0.0,Nicaragua
native-country,1.0,1.0,1.0,Dominican-Republic
native-country,1.0,0.0,0.0,Hungary
native-country,1.0,1.0,1.0,Haiti
native-country,1.0,0.25,0.4,Japan
native-country,1.0,1.0,1.0,Outlying-US(Guam-USVI-etc)
